Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,78.0,1.0,78.0,78.0,0.1,1497.0,0.0,0.0,0.005345582962036133,,,,,,,,,,,,,,,,,,,,,696.4096513356898,450.7776926440776,1445.5697411082913,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,107.0,2.0,29.0,107.0,0.1,468.0,0.0,0.0,2.876554250717163,,,,,,,,,,,,,,,,,,,,,203.09306674795718,158.46097910567735,463.0359098480957,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,154.0,3.0,47.0,154.0,0.1,886.0,0.0,0.0,7.498785018920898,,,,,,,,,,,,,,,,,,,,,420.16404936494513,274.5106252134379,867.9873964854219,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,183.0,4.0,29.0,183.0,0.1,468.0,0.0,0.0,10.354460000991821,,,,,,,,,,,,,,,,,,,,,203.09306674795718,158.46097910567735,463.0359098480957,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,230.0,5.0,47.0,230.0,0.1,866.0,0.0,0.0,14.832307577133179,,,,,,,,,,,,,,,,,,,,,402.2452329621648,272.225503027607,848.7912076749203,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,269.0,6.0,39.0,269.0,0.1,638.0,0.0,0.0,18.547385215759277,,,,,,,,,,,,,,,,,,,,,271.0442545217576,212.56372244541467,628.686017422479,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,311.0,7.0,42.0,311.0,0.1,741.0,0.0,0.0,22.555692434310913,,,,,,,,,,,,,,,,,,,,,334.18318290040276,239.18199634401944,728.4204187352349,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,351.0,8.0,40.0,351.0,0.1,659.0,0.0,0.0,26.59106421470642,,,,,,,,,,,,,,,,,,,,,281.00335501055497,218.86193782118798,649.0573314050566,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,378.0,9.0,27.0,378.0,0.1,406.0,0.0,0.0,29.317755699157715,,,,,,,,,,,,,,,,,,,,,167.67643226661178,140.45433110915326,402.2768878275689,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,420.0,10.0,42.0,420.0,0.1,701.0,0.0,0.0,33.29025363922119,,,,,,,,,,,,,,,,,,,,,300.9505284084656,231.39065199679447,689.738865799578,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
